FEATURE_ID,COUNTY_NUMERIC,FEATURE_NAME,COUNTY_NAME,STATE_ALPHA,STATE_NUMERIC
1470191,101,Mattaponi Reservation,King William,VA,51
1472036,101,Pamunkey Reservation,King William,VA,51
1479941,550,Deep Creek Borough,Chesapeake (city),VA,51
1479942,800,Cypress Borough,Suffolk (city),VA,51
1479943,800,Chuckatuck Borough,Suffolk (city),VA,51
1479944,740,Western Branch Borough,Portsmouth (city),VA,51
1479945,550,South Norfolk Borough,Chesapeake (city),VA,51
1479946,800,Sleepy Hole Borough,Suffolk (city),VA,51
1480091,1,Accomack County,Accomack,VA,51
1480095,9,Amherst County,Amherst,VA,51
1480097,13,Arlington County,Arlington,VA,51
1480098,15,Augusta County,Augusta,VA,51
1480107,33,Caroline County,Caroline,VA,51
1480108,35,Carroll County,Carroll,VA,51
1480109,36,Charles City County,Charles City,VA,51
1480111,41,Chesterfield County,Chesterfield,VA,51
1480118,57,Essex County,Essex,VA,51
1480119,59,Fairfax County,Fairfax,VA,51
1480120,61,Fauquier County,Fauquier,VA,51
1480124,69,Frederick County,Frederick,VA,51
1480126,73,Gloucester County,Gloucester,VA,51
1480129,79,Greene County,Greene,VA,51
1480132,85,Hanover County,Hanover,VA,51
1480133,87,Henrico County,Henrico,VA,51
1480135,95,James City County,James City,VA,51
1480136,97,King and Queen County,King and Queen,VA,51
1480137,99,King George County,King George,VA,51
1480138,101,King William County,King William,VA,51
1480139,103,Lancaster County,Lancaster,VA,51
1480141,107,Loudoun County,Loudoun,VA,51
1480145,115,Mathews County,Mathews,VA,51
1480147,119,Middlesex County,Middlesex,VA,51
1480150,127,New Kent County,New Kent,VA,51
1480151,131,Northampton County,Northampton,VA,51
1480152,133,Northumberland County,Northumberland,VA,51
1480157,143,Pittsylvania County,Pittsylvania,VA,51
1480160,149,Prince George County,Prince George,VA,51
1480161,153,Prince William County,Prince William,VA,51
1480164,159,Richmond County,Richmond,VA,51
1480165,161,Roanoke County,Roanoke,VA,51
1480166,163,Rockbridge County,Rockbridge,VA,51
1480171,175,Southampton County,Southampton,VA,51
1480172,177,Spotsylvania County,Spotsylvania,VA,51
1480173,179,Stafford County,Stafford,VA,51
1480174,181,Surry County,Surry,VA,51
1480179,193,Westmoreland County,Westmoreland,VA,51
1480182,199,York County,York,VA,51
1488970,165,Rockingham County,Rockingham,VA,51
1492239,111,Lunenburg County,Lunenburg,VA,51
1492359,147,Prince Edward County,Prince Edward,VA,51
1492442,37,Charlotte County,Charlotte,VA,51
1493928,135,Nottoway County,Nottoway,VA,51
1493961,25,Brunswick County,Brunswick,VA,51
1494061,65,Fluvanna County,Fluvanna,VA,51
1494109,49,Cumberland County,Cumberland,VA,51
1494354,63,Floyd County,Floyd,VA,51
1494434,67,Franklin County,Franklin,VA,51
1494551,71,Giles County,Giles,VA,51
1494590,113,Madison County,Madison,VA,51
1494613,21,Bland County,Bland,VA,51
1494707,109,Louisa County,Louisa,VA,51
1494761,137,Orange County,Orange,VA,51
1496538,105,Lee County,Lee,VA,51
1496656,195,Wise County,Wise,VA,51
1496705,83,Halifax County,Halifax,VA,51
1497238,11,Appomattox County,Appomattox,VA,51
1497376,51,Dickenson County,Dickenson,VA,51
1497431,27,Buchanan County,Buchanan,VA,51
1497573,167,Russell County,Russell,VA,51
1497748,185,Tazewell County,Tazewell,VA,51
1497770,7,Amelia County,Amelia,VA,51
1497831,47,Culpeper County,Culpeper,VA,51
1497999,141,Patrick County,Patrick,VA,51
1498172,169,Scott County,Scott,VA,51
1498359,191,Washington County,Washington,VA,51
1498415,510,City of Alexandria,Alexandria (city),VA,51
1498416,520,City of Bristol,Bristol (city),VA,51
1498417,530,City of Buena Vista,Buena Vista (city),VA,51
1498419,5,Clifton Forge (historical),Alleghany,VA,51
1498420,570,City of Colonial Heights,Colonial Heights (city),VA,51
1498421,590,City of Danville,Danville (city),VA,51
1498422,595,City of Emporia,Emporia (city),VA,51
1498423,610,City of Falls Church,Falls Church (city),VA,51
1498424,620,City of Franklin,Franklin (city),VA,51
1498425,630,City of Fredericksburg,Fredericksburg (city),VA,51
1498426,640,City of Galax,Galax (city),VA,51
1498428,670,City of Hopewell,Hopewell (city),VA,51
1498429,680,City of Lynchburg,Lynchburg (city),VA,51
1498430,683,City of Manassas,Manassas (city),VA,51
1498431,685,City of Manassas Park,Manassas Park (city),VA,51
1498434,720,City of Norton,Norton (city),VA,51
1498435,730,City of Petersburg,Petersburg (city),VA,51
1498436,735,City of Poquoson,Poquoson (city),VA,51
1498438,750,City of Radford,Radford (city),VA,51
1498439,770,City of Roanoke,Roanoke (city),VA,51
1498440,83,City of South Boston (historical),Halifax,VA,51
1498443,820,City of Waynesboro,Waynesboro (city),VA,51
1498554,650,City of Hampton,Hampton (city),VA,51
1498555,700,City of Newport News,Newport News (city),VA,51
1498556,740,City of Portsmouth,Portsmouth (city),VA,51
1498557,710,City of Norfolk,Norfolk (city),VA,51
1498558,550,City of Chesapeake,Chesapeake (city),VA,51
1498559,810,City of Virginia Beach,Virginia Beach (city),VA,51
1498560,800,City of Suffolk,Suffolk (city),VA,51
1498563,660,City of Harrisonburg,Harrisonburg (city),VA,51
1500440,139,Page County,Page,VA,51
1500545,173,Smyth County,Smyth,VA,51
1500747,117,Mecklenburg County,Mecklenburg,VA,51
1500936,125,Nelson County,Nelson,VA,51
1501122,81,Greensville County,Greensville,VA,51
1501196,77,Grayson County,Grayson,VA,51
1501379,197,Wythe County,Wythe,VA,51
1501465,155,Pulaski County,Pulaski,VA,51
1501502,29,Buckingham County,Buckingham,VA,51
1502770,89,Henry County,Henry,VA,51
1673638,17,Bath County,Bath,VA,51
1673664,45,Craig County,Craig,VA,51
1673675,5,Alleghany County,Alleghany,VA,51
1673774,91,Highland County,Highland,VA,51
1673918,171,Shenandoah County,Shenandoah,VA,51
1673976,157,Rappahannock County,Rappahannock,VA,51
1674058,187,Warren County,Warren,VA,51
1674225,145,Powhatan County,Powhatan,VA,51
1674271,75,Goochland County,Goochland,VA,51
1674418,23,Botetourt County,Botetourt,VA,51
1674630,121,Montgomery County,Montgomery,VA,51
1674818,19,Bedford County,Bedford,VA,51
1674917,31,Campbell County,Campbell,VA,51
1675170,3,Albemarle County,Albemarle,VA,51
1690257,183,Sussex County,Sussex,VA,51
1690562,43,Clarke County,Clarke,VA,51
1690739,53,Dinwiddie County,Dinwiddie,VA,51
1702378,93,Isle of Wight County,Isle of Wight,VA,51
1707510,800,Nansemond County (historical),Suffolk (city),VA,51
1779803,29,Commonwealth of Virginia,Buckingham,VA,51
1789068,540,City of Charlottesville,Charlottesville (city),VA,51
1789069,580,City of Covington,Covington (city),VA,51
1789070,600,City of Fairfax,Fairfax (city),VA,51
1789071,678,City of Lexington,Lexington (city),VA,51
1789072,690,City of Martinsville,Martinsville (city),VA,51
1789073,760,City of Richmond,Richmond (city),VA,51
1789074,775,City of Salem,Salem (city),VA,51
1789075,790,City of Staunton,Staunton (city),VA,51
1789076,830,City of Williamsburg,Williamsburg (city),VA,51
1789077,840,City of Winchester,Winchester (city),VA,51
1793650,515,City of Bedford,Bedford (city),VA,51
1927074,73,Abingdon District,Gloucester,VA,51
1927075,101,Acquinton District,King William,VA,51
1927076,31,Altavista District,Campbell,VA,51
1927077,23,Amsterdam District,Botetourt,VA,51
1927078,179,Aquia District,Stafford,VA,51
1927079,165,Ashby District,Rockingham,VA,51
1927080,85,Ashland District,Hanover,VA,51
1927081,173,Atkins District,Smyth,VA,51
1927082,69,Back Creek District,Frederick,VA,51
1927083,37,Bacon District,Charlotte,VA,51
1927084,181,Bacons Castle District,Surry,VA,51
1927085,143,Banister District,Pittsylvania,VA,51
1927086,177,Battlefield District,Spotsylvania,VA,51
1927087,103,Bayside District (historical),Lancaster,VA,51
1927088,111,Beaver Creek District,Lunenburg,VA,51
1927089,85,Beaverdam District,Hanover,VA,51
1927090,81,Belfield Magisterial District,Greensville,VA,51
1927091,95,Berkeley District,James City,VA,51
1927092,177,Berkeley District,Spotsylvania,VA,51
1927093,175,Berlin and Ivor District,Southampton,VA,51
1927094,41,Bermuda District,Chesterfield,VA,51
1927095,43,Berryville District,Clarke,VA,51
1927096,15,Beverley Manor District,Augusta,VA,51
1927097,197,Black Lick District,Wythe,VA,51
1927098,89,Blackberry District,Henry,VA,51
1927099,67,Blackwater District,Franklin,VA,51
1927100,149,Blackwater District,Prince George,VA,51
1927101,149,Bland District,Prince George,VA,51
1927102,91,Blue Grass District,Highland,VA,51
1927103,19,Blue Ridge District,Bedford,VA,51
1927104,23,Blue Ridge District,Botetourt,VA,51
1927105,67,Blue Ridge District,Franklin,VA,51
1927106,107,Blue Ridge District,Loudoun,VA,51
1927107,141,Blue Ridge District,Patrick,VA,51
1927108,5,Boiling Springs District,Alleghany,VA,51
1927109,67,Boone District,Franklin,VA,51
1927110,33,Bowling Green District,Caroline,VA,51
1927111,175,Boykins and Branchville District,Southampton,VA,51
1927112,59,Braddock District,Fairfax,VA,51
1927113,149,Brandon District,Prince George,VA,51
1927114,153,Brentsville District,Prince William,VA,51
1927115,107,Broad Run District,Loudoun,VA,51
1927116,87,Brookland District,Henrico,VA,51
1927117,31,Brookneal District,Campbell,VA,51
1927118,111,Browns Store District,Lunenburg,VA,51
1927119,23,Buchanan District,Botetourt,VA,51
1927120,43,Buckmarsh District,Clarke,VA,51
1927121,97,Buena Vista District,King and Queen,VA,51
1927122,163,Buffalo District,Rockbridge,VA,51
1927123,63,Burks Fork District,Floyd,VA,51
1927124,143,Callands-Gretna District,Pittsylvania,VA,51
1927125,175,Capron District,Southampton,VA,51
1927126,93,Carrsville District,Isle of Wight,VA,51
1927127,181,Carsley District,Surry,VA,51
1927128,167,Castlewood District,Russell,VA,51
1927129,47,Catalpa District,Culpeper,VA,51
1927130,161,Catawba District,Roanoke,VA,51
1927131,107,Catoctin District,Loudoun,VA,51
1927132,161,Cave Spring District,Roanoke,VA,51
1927133,17,Cedar Creek District,Bath,VA,51
1927134,47,Cedar Mountain District,Culpeper,VA,51
1927135,61,Cedar Run District,Fauquier,VA,51
1927136,19,Center District,Bedford,VA,51
1927137,61,Center District,Fauquier,VA,51
1927138,37,Central District,Charlotte,VA,51
1927139,57,Central District,Essex,VA,51
1927140,71,Central District,Giles,VA,51
1927141,165,Central District,Rockingham,VA,51
1927142,177,Chancellor District,Spotsylvania,VA,51
1927143,143,Chatham-Blairs District,Pittsylvania,VA,51
1927144,115,Chesapeake District,Mathews,VA,51
1927145,36,Chickahominy Magisterial District,Charles City,VA,51
1927146,85,Chickahominy District,Hanover,VA,51
1927147,173,Chilhowie District,Smyth,VA,51
1927148,103,Christ Church District (historical),Lancaster,VA,51
1927149,181,Claremont District,Surry,VA,51
1927150,5,Clifton District (historical),Alleghany,VA,51
1927151,51,Clintwood District,Dickenson,VA,51
1927152,11,Clover Hill District (historical),Appomattox,VA,51
1927153,41,Clover Hill District,Chesterfield,VA,51
1927154,155,Cloyd District,Pulaski,VA,51
